id,immOpt,delOpt,delay,task,p_imm
199,7.103458724008209,20.0,5.0,loss,0.3
200,7.112600646541878,20.0,5.0,loss,0.5
201,7.121742569075548,20.0,5.0,loss,0.7
202,4.316284098599246,20.0,10.0,loss,0.3
203,4.325426021132915,20.0,10.0,loss,0.5
204,4.334567943666585,20.0,10.0,loss,0.7
205,2.415793003778394,20.0,20.0,loss,0.3
206,2.424934926312063,20.0,20.0,loss,0.5
207,2.434076848845732,20.0,20.0,loss,0.7
208,1.0369318745743707,20.0,50.0,loss,0.3
209,1.04607379710804,20.0,50.0,loss,0.5
210,1.0552157196417093,20.0,50.0,loss,0.7
