"rt","key_press","immOpt","delOpt","delay","task","randomize","trial_type","trial_index","time_elapsed","internal_node_id","choice","timelineType"
"1163","80","2.00","5.00","5","reward","0","html-keyboard-response","374","479661","0.0-3.0-0.118","delayed","trial"
"986","80","0.50","1.00","10","reward","0","html-keyboard-response","377","482495","0.0-3.0-0.119","delayed","trial"
"814","81","-0.38","-10.00","50","loss","0","html-keyboard-response","380","485152","0.0-3.0-0.120","immediate","trial"
"601","80","-0.10","-1.00","3","loss","1","html-keyboard-response","383","487620","0.0-3.0-0.121","immediate","trial"
"1190","80","-0.91","-1.00","10","loss","1","html-keyboard-response","386","490664","0.0-3.0-0.122","immediate","trial"
"1714","80","-0.53","-1.00","3","loss","1","html-keyboard-response","389","494243","0.0-3.0-0.123","immediate","trial"
"1303","80","0.71","5.00","20","reward","0","html-keyboard-response","392","497389","0.0-3.0-0.124","delayed","trial"
"2299","81","12.50","20.00","2","reward","1","html-keyboard-response","395","501548","0.0-3.0-0.125","delayed","trial"
"2996","81","3.13","5.00","2","reward","1","html-keyboard-response","398","506380","0.0-3.0-0.126","delayed","trial"
"1176","81","-0.02","-1.00","50","loss","0","html-keyboard-response","401","509425","0.0-3.0-0.127","immediate","trial"
"1057","81","-3.33","-5.00","1","loss","0","html-keyboard-response","404","512325","0.0-3.0-0.128","immediate","trial"
"1154","81","-0.01","-1.00","50","loss","0","html-keyboard-response","407","515333","0.0-3.0-0.129","immediate","trial"
"2398","81","-18.18","-20.00","10","loss","0","html-keyboard-response","410","519585","0.0-3.0-0.130","immediate","trial"
"2598","80","0.77","1.00","3","reward","1","html-keyboard-response","413","524035","0.0-3.0-0.131","immediate","trial"
"1393","80","0.97","1.00","3","reward","0","html-keyboard-response","416","527270","0.0-3.0-0.132","delayed","trial"
"1545","81","-1.82","-20.00","10","loss","0","html-keyboard-response","419","530664","0.0-3.0-0.133","immediate","trial"
"1000","80","0.38","10.00","50","reward","1","html-keyboard-response","422","533507","0.0-3.0-0.134","immediate","trial"
"2191","81","8.33","10.00","20","reward","1","html-keyboard-response","425","537558","0.0-3.0-0.135","delayed","trial"
"1868","80","-4.55","-5.00","1","loss","1","html-keyboard-response","428","541286","0.0-3.0-0.136","immediate","trial"
"1275","80","-2.50","-5.00","10","loss","1","html-keyboard-response","431","544413","0.0-3.0-0.137","immediate","trial"
"1281","81","0.83","5.00","5","reward","1","html-keyboard-response","434","547549","0.0-3.0-0.138","delayed","trial"
"1079","80","-0.83","-5.00","5","loss","1","html-keyboard-response","437","550477","0.0-3.0-0.139","immediate","trial"
"1596","81","-0.77","-1.00","3","loss","0","html-keyboard-response","440","553923","0.0-3.0-0.140","immediate","trial"
"2275","80","-0.40","-1.00","5","loss","1","html-keyboard-response","443","558053","0.0-3.0-0.141","immediate","trial"
"1388","81","0.14","1.00","2","reward","1","html-keyboard-response","446","561295","0.0-3.0-0.142","delayed","trial"
"854","81","1.82","20.00","20","reward","1","html-keyboard-response","449","563991","0.0-3.0-0.143","delayed","trial"
"2226","80","-0.77","-20.00","50","loss","1","html-keyboard-response","452","568062","0.0-3.0-0.144","immediate","trial"
"1562","81","-0.50","-1.00","10","loss","0","html-keyboard-response","455","571469","0.0-3.0-0.145","immediate","trial"
"1644","81","0.06","1.00","5","reward","1","html-keyboard-response","458","574980","0.0-3.0-0.146","delayed","trial"
"1383","81","-8.33","-10.00","2","loss","0","html-keyboard-response","461","578219","0.0-3.0-0.147","immediate","trial"
"1821","80","-0.95","-1.00","5","loss","1","html-keyboard-response","464","581908","0.0-3.0-0.148","immediate","trial"
"1480","81","0.06","1.00","50","reward","0","html-keyboard-response","467","585238","0.0-3.0-0.149","immediate","trial"
"1826","80","0.04","1.00","50","reward","0","html-keyboard-response","470","588914","0.0-3.0-0.150","delayed","trial"
"1858","81","-0.67","-1.00","5","loss","0","html-keyboard-response","473","592614","0.0-3.0-0.151","immediate","trial"
